[]
[4, 2412]
         1439833 function calls (1436449 primitive calls) in 5.503 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 dis.py:401(Bytecode)
        1    0.000    0.000    0.000    0.000 doevents.py:1(<module>)
        1    0.000    0.000    0.445    0.445 dwmemio.py:1(<module>)
        1    0.001    0.001    0.329    0.329 dwmemio.py:11(f_dwread_epd)
        1    0.000    0.000    0.103    0.103 dwmemio.py:117(f_dwbreak)
        1    0.000    0.000    0.102    0.102 dwmemio.py:35(<listcomp>)
        1    0.000    0.000    0.092    0.092 dwmemio.py:36(<listcomp>)
        2    0.000    0.000    0.061    0.030 dwmemio.py:7(f_epd)
        6    0.000    0.000    0.111    0.019 dwmemio.py:72(f_dwwrite_epd)
        1    0.000    0.000    0.018    0.018 eudf.py:1(<module>)
      9/8    0.000    0.000    5.387    0.673 eudf.py:13(EUDFunc)
       25    0.001    0.000    0.798    0.032 eudf.py:49(retfunc)
       25    0.000    0.000    0.000    0.000 eudf.py:54(<listcomp>)
       25    0.000    0.000    0.001    0.000 eudf.py:69(<listcomp>)
       25    0.000    0.000    0.000    0.000 eudf.py:70(<listcomp>)
       22    0.000    0.000    0.170    0.008 eudf.py:77(SetVariables)
       22    0.000    0.000    0.000    0.000 eudf.py:85(<listcomp>)
        1    0.000    0.000    0.000    0.000 eudlv.py:1(<module>)
      280    0.000    0.000    0.000    0.000 eudlv.py:10(GetVariableMemoryAddr)
        1    0.000    0.000    0.000    0.000 eudlv.py:5(EUDLightVariable)
        8    0.000    0.000    0.000    0.000 eudlv.py:7(__init__)
        1    0.000    0.000    0.000    0.000 eudobj.py:1(<module>)
      940    0.001    0.000    0.002    0.000 eudobj.py:10(__init__)
        2    0.000    0.000    0.000    0.000 eudobj.py:13(Evaluate)
        1    0.000    0.000    0.000    0.000 eudobj.py:5(EUDObject)
        1    0.000    0.000    0.000    0.000 eudsqc.py:1(<module>)
      208    0.003    0.000    2.150    0.010 eudsqc.py:20(SeqCompute)
      295    0.004    0.000    1.843    0.006 eudsqc.py:5(_VProc)
        1    0.000    0.000    0.001    0.001 eudv.py:1(<module>)
        2    0.000    0.000    0.009    0.005 eudv.py:118(__lshift__)
        1    0.000    0.000    0.000    0.000 eudv.py:13(__init__)
        1    0.000    0.000    0.000    0.000 eudv.py:133(__le__)
      129    0.000    0.000    0.001    0.000 eudv.py:18(CreateVarTrigger)
        5    0.000    0.000    0.026    0.005 eudv.py:200(_VProc)
       18    0.000    0.000    0.001    0.000 eudv.py:212(EUDCreateVariables)
       18    0.000    0.000    0.001    0.000 eudv.py:213(<listcomp>)
        6    0.000    0.000    0.041    0.007 eudv.py:217(_Basic_SeqCompute)
        1    0.000    0.000    0.000    0.000 eudv.py:38(EUDVariable)
      129    0.000    0.000    0.001    0.000 eudv.py:44(__init__)
      600    0.000    0.000    0.000    0.000 eudv.py:48(GetVTable)
      948    0.002    0.000    0.006    0.000 eudv.py:51(GetVariableMemoryAddr)
      236    0.003    0.000    0.017    0.000 eudv.py:56(QueueAssignTo)
        1    0.000    0.000    0.000    0.000 eudv.py:6(_EUDVarBuffer)
       64    0.001    0.000    0.005    0.000 eudv.py:67(QueueAddTo)
        4    0.000    0.000    0.032    0.008 eudv.py:91(__add__)
        9    0.000    0.000    0.000    0.000 functools.py:43(update_wrapper)
        9    0.000    0.000    0.000    0.000 functools.py:73(wraps)
       18    0.000    0.000    0.000    0.000 inspect.py:163(isfunction)
        9    0.000    0.000    0.002    0.000 inspect.py:1889(_signature_internal)
        1    0.000    0.000    0.000    0.000 inspect.py:2048(_void)
        1    0.000    0.000    0.000    0.000 inspect.py:2052(_empty)
        1    0.000    0.000    0.000    0.000 inspect.py:2056(_ParameterKind)
        5    0.000    0.000    0.000    0.000 inspect.py:2057(__new__)
        1    0.000    0.000    0.000    0.000 inspect.py:2076(Parameter)
       16    0.000    0.000    0.000    0.000 inspect.py:2108(__init__)
       32    0.000    0.000    0.000    0.000 inspect.py:2133(name)
       16    0.000    0.000    0.000    0.000 inspect.py:2137(default)
       16    0.000    0.000    0.000    0.000 inspect.py:2141(annotation)
       16    0.000    0.000    0.000    0.000 inspect.py:2145(kind)
        1    0.000    0.000    0.000    0.000 inspect.py:2201(BoundArguments)
        1    0.000    0.000    0.000    0.000 inspect.py:2288(Signature)
        9    0.001    0.000    0.002    0.000 inspect.py:2318(__init__)
       25    0.000    0.000    0.000    0.000 inspect.py:2363(<genexpr>)
        9    0.000    0.000    0.002    0.000 inspect.py:2369(from_function)
        9    0.000    0.000    0.000    0.000 inspect.py:2454(parameters)
        9    0.000    0.000    0.000    0.000 inspect.py:2458(return_annotation)
        1    0.000    0.000    0.016    0.016 inspect.py:27(<module>)
        1    0.000    0.000    0.000    0.000 inspect.py:759(EndOfBlock)
        1    0.000    0.000    0.000    0.000 inspect.py:761(BlockFinder)
        9    0.000    0.000    0.002    0.000 inspect.py:913(getargspec)
        9    0.000    0.000    0.002    0.000 inspect.py:937(getfullargspec)
   115561    0.139    0.000    0.409    0.000 linecache.py:14(getline)
   115561    0.089    0.000    0.251    0.000 linecache.py:34(getlines)
   115561    0.174    0.000    3.839    0.000 linecache.py:44(checkcache)
        1    0.000    0.000    0.006    0.006 linecache.py:6(<module>)
    79569    0.089    0.000    0.162    0.000 linecache.py:69(updatecache)
        1    0.000    0.000    0.005    0.005 loadmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 locale.py:606(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 loopblock.py:1(<module>)
        1    0.000    0.000    0.015    0.015 loopblock.py:42(EUDWhileNot)
        1    0.000    0.000    0.002    0.002 loopblock.py:54(EUDEndWhile)
